"Transaction ID","ID de transacción"
"Refund id missing in webhook","Falta el ID de reembolso en el webhook"
"Back to Order","Volver al pedido"
"Order not found or missing.","Pedido no encontrado o faltante."
"Request Fintoc Refund for Order #%1","Solicitar reembolso Fintoc para el pedido #%1"
"Refund Mode","Modo de reembolso"
"Full refundable amount","Monto total reembolsable"
"Partial by items/quantities","Parcial por artículos/cantidades"
"Reason / Comment","Motivo / Comentario"
"Order Information","Información del pedido"
"Order Total Paid","Total pagado del pedido"
"Refundable Amount","Monto reembolsable"
"Product","Producto"
"SKU","SKU"
"Qty to refund","Cant. a reembolsar"
"Max Qty","Cant. máx."
"Unit Price (incl. tax)","Precio unitario (incl. impuestos)"
"No refundable items.","No hay artículos reembolsables."
"The final refund amount will be computed from selected item quantities.","El monto final del reembolso se calculará a partir de las cantidades de artículos seleccionados."
"Cancel","Cancelar"
"Partial refunds are disabled.","Los reembolsos parciales están deshabilitados."
"Please enter a valid amount greater than 0 and up to %1","Ingresa un monto válido mayor que 0 y hasta %1"
"Please enter at least one quantity to refund.","Ingresa al menos una cantidad a reembolsar."
"Refundable Orders Statuses","Estados de pedidos reembolsables"
"Select which order statuses are eligible to be refunded.","Selecciona qué estados de pedido son elegibles para reembolso."

"Please enter a reason/comment for this refund.","Ingresa un motivo/comentario para este reembolso."
